Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
253,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,1041,12,https://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
254,Big Fish,2003,1041,12,https://letterboxd.com/film/big-fish/
255,The Blind Side,2009,1040,12,https://letterboxd.com/film/the-blind-side/
256,Pacific Rim,2013,1037,12,https://letterboxd.com/film/pacific-rim/
257,Kingsman: The Golden Circle,2017,1035,12,https://letterboxd.com/film/kingsman-the-golden-circle/
258,Snow White and the Seven Dwarfs,1937,1034,12,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
259,Harry Potter and the Half-Blood Prince,2009,1034,12,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
260,Saw IV,2007,1034,12,https://letterboxd.com/film/saw-iv/
261,The Fox and the Hound,1981,1032,12,https://letterboxd.com/film/the-fox-and-the-hound/
262,Eraserhead,1977,1032,12,https://letterboxd.com/film/eraserhead/
263,Friday the 13th Part 2,1981,1031,12,https://letterboxd.com/film/friday-the-13th-part-2/
264,The Muppet Christmas Carol,1992,1030,12,https://letterboxd.com/film/the-muppet-christmas-carol/
265,Revenge of the Nerds,1984,1028,12,https://letterboxd.com/film/revenge-of-the-nerds/
266,The Outsiders,1983,1027,12,https://letterboxd.com/film/the-outsiders/
267,The Hitchhiker's Guide to the Galaxy,2005,1027,12,https://letterboxd.com/film/the-hitchhikers-guide-to-the-galaxy-2005/
268,Top Gun,1986,1026,12,https://letterboxd.com/film/top-gun/
269,Mr. Peabody and Sherman,2014,1023,12,https://letterboxd.com/film/mr-peabody-sherman/
270,Mrs. Doubtfire,1993,1023,12,https://letterboxd.com/film/mrs-doubtfire/
271,Tremors,1990,1020,12,https://letterboxd.com/film/tremors/
272,The Great Gatsby,2013,1018,12,https://letterboxd.com/film/the-great-gatsby-2013/
273,Dumb and Dumber,1994,1018,12,https://letterboxd.com/film/dumb-and-dumber/
274,Onward,2020,1017,12,https://letterboxd.com/film/onward-2020/
275,Sonic the Hedgehog 2,2022,1017,12,https://letterboxd.com/film/sonic-the-hedgehog-2/
276,Sleeping Beauty,1959,1016,12,https://letterboxd.com/film/sleeping-beauty/
277,A Bug's Life,1998,1015,12,https://letterboxd.com/film/a-bugs-life/
278,Sonic the Hedgehog,2020,1014,12,https://letterboxd.com/film/sonic-the-hedgehog/
279,Dr. Dolittle,1998,1013,12,https://letterboxd.com/film/dr-dolittle/
280,The Right Stuff,1983,1012,12,https://letterboxd.com/film/the-right-stuff/
281,Avengers: Age of Ultron,2015,1012,12,https://letterboxd.com/film/avengers-age-of-ultron/
282,Over the Hedge,2006,1012,12,https://letterboxd.com/film/over-the-hedge/
283,Murder on the Orient Express,2017,1011,12,https://letterboxd.com/film/murder-on-the-orient-express-2017/
284,Gremlins,1984,1010,12,https://letterboxd.com/film/gremlins/
285,Paranorman,2012,1008,12,https://letterboxd.com/film/paranorman/
286,The Spongebob Squarepants Movie,2004,1007,12,https://letterboxd.com/film/the-spongebob-squarepants-movie/
287,Mamma Mia!,2008,1007,12,https://letterboxd.com/film/mamma-mia/
288,Happy Feet,2006,1006,12,https://letterboxd.com/film/happy-feet/
289,Spider-Man: Far From Home,2019,1006,12,https://letterboxd.com/film/spider-man-far-from-home/
290,The Little Mermaid,1989,1004,12,https://letterboxd.com/film/the-little-mermaid/
291,The Muppets,2011,1003,12,https://letterboxd.com/film/the-muppets/
292,Star Trek,2009,1003,12,https://letterboxd.com/film/star-trek/
293,Men in Black 3,2012,1002,12,https://letterboxd.com/film/men-in-black-3/
294,Pirates of the Caribbean: Dead Man's Chest,2006,1002,12,https://letterboxd.com/film/pirates-of-the-caribbean-dead-mans-chest/
295,The Mummy,1999,1001,12,https://letterboxd.com/film/the-mummy-1999/
296,The Hobbit: The Battle of the Five Armies,2014,1001,12,https://letterboxd.com/film/the-hobbit-the-battle-of-the-five-armies/
297,Star Trek: Beyond,2016,1000,12,https://letterboxd.com/film/star-trek-beyond/
298,The Lego Ninjago Movie,2017,1000,12,https://letterboxd.com/film/the-lego-ninjago-movie/
299,Hocus Pocus,1993,999,12,https://letterboxd.com/film/hocus-pocus/
300,Pirates of the Caribbean: At World's End,2007,999,12,https://letterboxd.com/film/pirates-of-the-caribbean-at-worlds-end/
301,8 Mile,2002,998,12,https://letterboxd.com/film/8-mile/
302,Robots,2005,997,12,https://letterboxd.com/film/robots/
303,Bee Movie,2007,995,12,https://letterboxd.com/film/bee-movie/
304,An Extremely Goofy Movie,2000,994,12,https://letterboxd.com/film/an-extremely-goofy-movie/
305,Hoodwinked!,2005,992,12,https://letterboxd.com/film/hoodwinked/
306,Cars,2006,992,12,https://letterboxd.com/film/cars/
307,Godzilla: King of the Monsters,2019,991,12,https://letterboxd.com/film/godzilla-king-of-the-monsters-2019/
308,The Hobbit: The Desolation of Smaug,2013,990,12,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
309,Death of a Unicorn,2025,990,12,https://letterboxd.com/film/death-of-a-unicorn/
310,Napoleon Dynamite,2004,990,12,https://letterboxd.com/film/napoleon-dynamite/
311,Despicable Me,2010,989,12,https://letterboxd.com/film/despicable-me/
312,Final Destination 3,2006,989,12,https://letterboxd.com/film/final-destination-3/
313,National Treasure,2004,989,12,https://letterboxd.com/film/national-treasure/
314,Kick-Ass,2010,987,12,https://letterboxd.com/film/kick-ass/
315,Chronicles of Narnia: Prince Caspian,2008,986,12,https://letterboxd.com/film/the-chronicles-of-narnia-prince-caspian/
316,Ted,2012,985,12,https://letterboxd.com/film/ted/
317,Evolution,2001,985,12,https://letterboxd.com/film/evolution/
318,Real Steel,2011,984,12,https://letterboxd.com/film/real-steel/
319,Star Trek: Into Darkness,2013,984,12,https://letterboxd.com/film/star-trek-into-darkness/
320,Cars 3,2017,983,12,https://letterboxd.com/film/cars-3/
321,Spiral: From the Book of Saw,2021,981,12,https://letterboxd.com/film/spiral-from-the-book-of-saw/
322,Man of Steel,2013,981,12,https://letterboxd.com/film/man-of-steel/
323,Mean Girls,2004,981,12,https://letterboxd.com/film/mean-girls/
324,Captain America: The First Avenger,2011,981,12,https://letterboxd.com/film/captain-america-the-first-avenger/
325,Rudy,1993,981,12,https://letterboxd.com/film/rudy/
326,Annie,1982,980,12,https://letterboxd.com/film/annie/
327,The Sword in the Stone,1963,980,12,https://letterboxd.com/film/the-sword-in-the-stone/
328,My Hero Academia: The Movie,2018,980,12,https://letterboxd.com/film/my-hero-academia-the-movie/
329,Dirty Dancing,1987,979,12,https://letterboxd.com/film/dirty-dancing/
330,Amazing Grace,2006,979,12,https://letterboxd.com/film/amazing-grace-2006/
